Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
"6,325.00",+16.56%,"1,239.70","1,252.65","1,265.60","1,267.50",unch,unch,1,0,unch,138.95%,0.9651,Call,05/29/26
"6,350.00",+16.23%,"1,216.90","1,229.85","1,242.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,375.00",+15.90%,"1,189.80","1,202.75","1,215.70",804.34,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,400.00",+15.57%,"1,166.80","1,179.25","1,191.70",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,425.00",+15.24%,"1,139.90","1,152.80","1,165.70",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,450.00",+14.91%,"1,114.00","1,127.00","1,140.00","1,128.08",+14.88,+1.34%,2,70,+70,0.00%,0.0000,Call,05/29/26
"6,475.00",+14.58%,"1,091.80","1,104.25","1,116.70","1,116.10",+7.95,+0.72%,4,0,unch,120.75%,0.9648,Call,05/29/26
"6,500.00",+14.25%,"1,066.80","1,079.25","1,091.70","1,089.90",+26.60,+2.50%,1,80,+70,115.46%,0.9674,Call,05/29/26
"6,525.00",+13.92%,"1,041.90","1,054.30","1,066.70","1,063.70",unch,unch,1,10,unch,110.03%,0.9702,Call,05/29/26
"6,550.00",+13.59%,"1,016.90","1,029.35","1,041.80","1,039.10",unch,unch,1,0,unch,108.69%,0.9684,Call,05/29/26
"6,575.00",+13.26%,991.80,"1,004.55","1,017.30","1,016.50",+31.67,+3.22%,2,1,+1,111.78%,0.9610,Call,05/29/26
"6,600.00",+12.93%,966.80,979.15,991.50,994.20,+12.42,+1.27%,2,0,unch,114.56%,0.9533,Call,05/29/26
"6,625.00",+12.60%,941.80,953.90,966.00,965.10,unch,unch,1,0,unch,103.87%,0.9635,Call,05/29/26
"6,650.00",+12.27%,916.80,928.95,941.10,933.20,unch,unch,3,0,unch,79.09%,0.9883,Call,05/29/26
"6,675.00",+11.94%,891.90,904.00,916.10,917.80,unch,unch,1,0,unch,104.42%,0.9541,Call,05/29/26
"6,700.00",+11.61%,866.90,878.80,890.70,856.70,unch,unch,0,3,+1,0.00%,0.0000,Call,05/28/26
"6,725.00",+11.28%,841.90,853.85,865.80,867.90,unch,unch,1,3,unch,99.60%,0.9518,Call,05/29/26
"6,750.00",+10.95%,816.90,828.85,840.80,750.00,unch,unch,0,1,unch,0.00%,0.0000,Call,05/22/26
"6,775.00",+10.62%,791.90,804.45,817.00,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,800.00",+10.29%,765.00,778.00,791.00,766.04,unch,unch,0,3,+1,0.00%,0.0000,Call,05/28/26
"6,825.00",+9.96%,741.80,754.65,767.50,767.80,unch,unch,1,1,unch,89.43%,0.9475,Call,05/29/26
"6,850.00",+9.63%,717.30,730.20,743.10,741.30,unch,unch,1,1,unch,84.39%,0.9511,Call,05/29/26
"6,875.00",+9.30%,690.60,703.55,716.50,720.00,unch,unch,1,3,unch,87.78%,0.9380,Call,05/29/26
"6,900.00",+8.97%,664.30,677.25,690.20,681.06,+681.06,unch,2,17,unch,0.00%,0.0000,Call,05/29/26
"6,910.00",+8.84%,654.80,667.85,680.90,679.50,unch,unch,1,4,unch,75.33%,0.9546,Call,05/29/26
"6,920.00",+8.71%,644.40,657.30,670.20,670.00,unch,unch,1,0,unch,75.28%,0.9522,Call,05/29/26
"6,925.00",+8.64%,641.60,654.50,667.40,655.01,+27.13,+4.32%,3,7,unch,0.00%,0.0000,Call,05/29/26
"6,930.00",+8.58%,634.60,647.55,660.50,659.63,+25.84,+4.08%,7,64,+62,73.65%,0.9531,Call,05/29/26
"6,940.00",+8.44%,624.30,637.20,650.10,646.77,+27.99,+4.52%,2,1,-1,66.92%,0.9648,Call,05/29/26
"6,950.00",+8.31%,615.60,628.60,641.60,629.99,+18.99,+3.11%,19,16,-1,0.00%,0.0000,Call,05/29/26
"6,960.00",+8.18%,604.30,619.10,633.90,626.74,+16.39,+2.69%,1,4,unch,65.04%,0.9641,Call,05/29/26
"6,970.00",+8.05%,595.10,608.05,621.00,596.74,unch,unch,0,20,+19,0.00%,0.0000,Call,05/28/26
"6,975.00",+7.98%,589.80,602.75,615.70,591.97,unch,unch,0,66,+56,0.00%,0.0000,Call,05/28/26
"6,980.00",+7.92%,585.00,597.95,610.90,609.09,+609.09,unch,1,0,unch,67.90%,0.9525,Call,05/29/26
"6,990.00",+7.78%,575.00,588.10,601.20,508.94,unch,unch,0,3,unch,0.00%,0.0000,Call,05/22/26
"7,000.00",+7.65%,577.20,578.00,578.80,582.00,+17.66,+3.13%,11,"1,622",unch,43.93%,0.9932,Call,05/29/26
"7,010.00",+7.52%,554.20,569.10,584.00,536.30,unch,unch,0,6,+2,0.00%,0.0000,Call,05/28/26
"7,020.00",+7.39%,546.20,559.10,572.00,571.40,+24.59,+4.50%,1,24,+20,67.81%,0.9404,Call,05/29/26
"7,025.00",+7.32%,542.20,554.65,567.10,565.24,+54.89,+10.76%,2,31,-1,65.52%,0.9448,Call,05/29/26
"7,030.00",+7.26%,535.20,548.30,561.40,562.80,+46.40,+8.99%,1,6,+1,68.83%,0.9342,Call,05/29/26
"7,040.00",+7.12%,525.00,538.00,551.00,551.32,+11.20,+2.07%,9,9,unch,65.70%,0.9392,Call,05/29/26
"7,050.00",+6.99%,517.00,529.70,542.40,527.02,+14.03,+2.73%,5,32,-7,0.00%,0.0000,Call,05/29/26
"7,055.00",+6.93%,521.20,523.25,525.30,464.49,unch,unch,0,1,unch,0.00%,0.0000,Call,05/26/26
"7,060.00",+6.86%,516.20,518.25,520.30,516.06,+2.53,+0.49%,4,11,unch,0.00%,0.0000,Call,05/29/26
"7,065.00",+6.79%,510.60,512.95,515.30,494.88,unch,unch,0,2,+2,0.00%,0.0000,Call,05/28/26
"7,070.00",+6.73%,506.10,508.20,510.30,512.06,unch,unch,4,3,unch,39.43%,0.9920,Call,05/29/26
"7,075.00",+6.66%,501.20,503.25,505.30,516.77,-0.41,-0.08%,4,30,unch,62.85%,0.9344,Call,05/29/26
"7,080.00",+6.60%,496.20,498.25,500.30,496.14,+496.14,unch,6,0,unch,0.00%,0.0000,Call,05/29/26
"7,085.00",+6.53%,491.20,493.30,495.40,402.54,unch,unch,0,1,unch,0.00%,0.0000,Call,05/22/26
"7,090.00",+6.47%,485.60,488.00,490.40,492.93,+18.87,+3.98%,2,14,unch,42.89%,0.9833,Call,05/29/26
"7,095.00",+6.40%,481.30,483.35,485.40,489.13,+17.73,+3.76%,2,40,+1,46.66%,0.9737,Call,05/29/26
"7,100.00",+6.33%,476.30,478.30,480.30,477.00,+11.35,+2.44%,145,134,-2,0.00%,0.0000,Call,05/29/26
"7,105.00",+6.27%,471.30,473.30,475.30,488.31,+26.80,+5.81%,1,35,unch,61.85%,0.9252,Call,05/29/26
"7,110.00",+6.20%,466.30,468.30,470.30,474.20,+18.55,+4.07%,37,41,+3,45.61%,0.9725,Call,05/29/26
"7,115.00",+6.14%,461.10,463.20,465.30,467.99,-1.21,-0.26%,6,25,unch,41.17%,0.9821,Call,05/29/26
"7,120.00",+6.07%,456.30,458.30,460.30,463.01,+463.01,unch,1,52,unch,40.86%,0.9818,Call,05/29/26
"7,125.00",+6.00%,451.30,453.30,455.30,458.29,+2.79,+0.61%,25,91,unch,41.51%,0.9791,Call,05/29/26
"7,130.00",+5.94%,446.20,448.25,450.30,452.16,+6.68,+1.50%,2,19,unch,35.82%,0.9901,Call,05/29/26
"7,135.00",+5.87%,441.20,443.25,445.30,456.80,unch,unch,1,3,unch,56.84%,0.9284,Call,05/29/26
"7,140.00",+5.81%,436.30,438.30,440.30,424.47,unch,unch,0,36,unch,0.00%,0.0000,Call,05/28/26
"7,145.00",+5.74%,431.30,433.30,435.30,448.24,+26.37,+6.25%,1,1,+1,57.63%,0.9210,Call,05/29/26
"7,150.00",+5.67%,427.30,428.05,428.80,424.95,+9.60,+2.31%,15,235,+1,0.00%,0.0000,Call,05/29/26
"7,155.00",+5.61%,421.30,423.35,425.40,328.29,unch,unch,0,11,unch,0.00%,0.0000,Call,05/22/26
"7,160.00",+5.54%,416.30,418.35,420.40,427.15,+427.15,unch,2,55,unch,47.53%,0.9499,Call,05/29/26
"7,165.00",+5.48%,410.70,413.05,415.40,407.55,unch,unch,0,2,+1,0.00%,0.0000,Call,05/28/26
"7,170.00",+5.41%,405.80,408.05,410.30,400.92,+6.23,+1.58%,2,71,unch,0.00%,0.0000,Call,05/29/26
"7,175.00",+5.34%,400.80,403.05,405.30,404.40,+5.07,+1.27%,13,90,unch,0.00%,0.0000,Call,05/29/26
"7,180.00",+5.28%,396.40,398.35,400.30,404.73,+20.06,+5.21%,1,62,unch,40.97%,0.9648,Call,05/29/26
"7,185.00",+5.21%,391.20,393.25,395.30,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"7,190.00",+5.15%,386.20,388.25,390.30,393.24,+9.25,+2.41%,7,81,+1,36.11%,0.9771,Call,05/29/26
"7,195.00",+5.08%,381.20,383.30,385.40,338.16,unch,unch,0,3,unch,0.00%,0.0000,Call,05/27/26
"7,200.00",+5.01%,377.30,378.05,378.80,374.26,+0.05,+0.01%,30,557,-4,0.00%,0.0000,Call,05/29/26
"7,205.00",+4.95%,371.30,373.35,375.40,283.97,unch,unch,0,7,unch,0.00%,0.0000,Call,05/22/26
"7,210.00",+4.88%,366.40,368.40,370.40,377.17,+377.17,unch,62,145,unch,42.88%,0.9451,Call,05/29/26
"7,215.00",+4.82%,361.40,363.40,365.40,351.45,-7.55,-2.10%,1,1,+1,0.00%,0.0000,Call,05/29/26
"7,220.00",+4.75%,356.40,358.40,360.40,368.33,-1.16,-0.31%,2,74,unch,43.68%,0.9367,Call,05/29/26
"7,225.00",+4.68%,352.40,353.15,353.90,341.51,+15.71,+4.82%,1,534,unch,0.00%,0.0000,Call,05/29/26
"7,230.00",+4.62%,345.90,348.15,350.40,366.22,+81.06,+28.43%,10,48,+2,51.81%,0.8957,Call,05/29/26
"7,235.00",+4.55%,340.90,343.15,345.40,344.62,+56.43,+19.58%,4,4,+4,0.00%,0.0000,Call,05/29/26
"7,240.00",+4.49%,335.90,338.15,340.40,344.23,+59.32,+20.82%,5,104,+4,34.64%,0.9649,Call,05/29/26
"7,245.00",+4.42%,331.30,333.35,335.40,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"7,250.00",+4.35%,327.40,328.15,328.90,341.80,+27.33,+8.69%,8,588,unch,45.04%,0.9128,Call,05/29/26
"7,255.00",+4.29%,321.40,323.40,325.40,336.75,+30.26,+9.87%,7,1,unch,44.46%,0.9122,Call,05/29/26
"7,260.00",+4.22%,316.40,318.40,320.40,330.95,+25.87,+8.48%,14,117,+2,43.03%,0.9157,Call,05/29/26
"7,265.00",+4.16%,311.50,313.45,315.40,248.21,unch,unch,0,3,unch,0.00%,0.0000,Call,05/27/26
"7,270.00",+4.09%,306.50,308.45,310.40,309.95,+14.87,+5.04%,1,140,unch,0.00%,0.0000,Call,05/29/26
"7,275.00",+4.02%,301.50,303.45,305.40,307.50,+66.27,+27.47%,14,110,unch,26.75%,0.9819,Call,05/29/26
"7,280.00",+3.96%,295.90,298.15,300.40,298.81,+57.61,+23.88%,15,59,+4,0.00%,0.0000,Call,05/29/26
"7,285.00",+3.89%,291.00,293.20,295.40,297.50,+8.15,+2.82%,6,21,+13,25.98%,0.9814,Call,05/29/26
"7,290.00",+3.83%,286.00,288.15,290.30,300.26,+26.56,+9.70%,14,49,+3,39.15%,0.9143,Call,05/29/26
"7,295.00",+3.76%,281.50,283.40,285.30,287.67,-12.27,-4.09%,4,15,unch,25.83%,0.9786,Call,05/29/26
"7,300.00",+3.69%,277.50,278.20,278.90,291.73,+26.66,+10.06%,47,644,+11,39.71%,0.9036,Call,05/29/26
"7,305.00",+3.63%,271.50,273.40,275.30,158.07,unch,unch,0,70,unch,0.00%,0.0000,Call,05/18/26
"7,310.00",+3.56%,266.60,268.45,270.30,281.58,+22.78,+8.80%,25,48,+6,38.49%,0.9023,Call,05/29/26
"7,315.00",+3.50%,261.60,263.45,265.30,278.13,unch,unch,1,8,unch,39.49%,0.8923,Call,05/29/26
"7,320.00",+3.43%,256.00,258.15,260.30,262.19,+13.32,+5.35%,32,58,+9,22.01%,0.9847,Call,05/29/26
"7,325.00",+3.36%,252.60,253.30,254.00,248.24,+8.74,+3.65%,6,862,+1,0.00%,0.0000,Call,05/29/26
"7,330.00",+3.30%,246.50,248.45,250.40,243.24,+3.89,+1.63%,5,59,-3,0.00%,0.0000,Call,05/29/26
"7,335.00",+3.23%,241.10,243.25,245.40,254.81,+21.55,+9.24%,1,90,unch,33.99%,0.9077,Call,05/29/26
"7,340.00",+3.17%,237.60,238.30,239.00,250.04,-3.47,-1.37%,11,299,unch,33.71%,0.9049,Call,05/29/26
"7,345.00",+3.10%,231.70,233.60,235.50,237.40,-12.73,-5.09%,217,16,unch,20.97%,0.9798,Call,05/29/26
"7,350.00",+3.04%,227.70,228.40,229.10,229.92,+10.06,+4.58%,227,781,-2,0.00%,0.0000,Call,05/29/26
"7,355.00",+2.97%,221.20,223.30,225.40,222.17,-3.58,-1.59%,42,17,unch,0.00%,0.0000,Call,05/29/26
"7,360.00",+2.90%,216.20,218.35,220.50,221.53,+19.41,+9.60%,58,76,+2,11.86%,0.9996,Call,05/29/26
"7,365.00",+2.84%,211.70,213.60,215.50,156.48,unch,unch,0,17,unch,0.00%,0.0000,Call,05/26/26
"7,370.00",+2.77%,206.30,208.40,210.50,214.55,+15.45,+7.76%,53,79,+8,23.81%,0.9468,Call,05/29/26
"7,375.00",+2.71%,202.70,203.40,204.10,210.25,+17.02,+8.81%,55,415,-3,24.43%,0.9378,Call,05/29/26
"7,380.00",+2.64%,197.80,198.50,199.20,197.39,+54.23,+37.88%,44,237,+5,0.00%,0.0000,Call,05/29/26
"7,385.00",+2.57%,191.40,193.50,195.60,199.95,+48.52,+32.04%,8,23,unch,23.06%,0.9392,Call,05/29/26
"7,390.00",+2.51%,186.40,188.45,190.50,201.36,+24.81,+14.05%,22,133,+6,29.61%,0.8807,Call,05/29/26
"7,395.00",+2.44%,181.60,183.60,185.60,193.28,+18.59,+10.64%,9,32,-25,26.12%,0.9029,Call,05/29/26
"7,400.00",+2.38%,177.90,178.60,179.30,188.26,+17.01,+9.93%,94,"2,246",+3,25.57%,0.9015,Call,05/29/26
"7,405.00",+2.31%,171.70,173.70,175.70,179.73,+18.75,+11.65%,7,62,-2,20.86%,0.9374,Call,05/29/26
"7,410.00",+2.24%,168.00,168.70,169.40,174.69,+18.16,+11.60%,45,313,-3,20.34%,0.9367,Call,05/29/26
"7,415.00",+2.18%,162.10,163.95,165.80,180.96,+51.26,+39.52%,3,50,-1,30.42%,0.8409,Call,05/29/26
"7,420.00",+2.11%,156.70,158.80,160.90,160.50,+12.95,+8.78%,24,204,+19,0.00%,0.0000,Call,05/29/26
"7,425.00",+2.05%,153.20,153.85,154.50,167.57,+14.67,+9.59%,34,"1,709",unch,26.65%,0.8572,Call,05/29/26
"7,430.00",+1.98%,148.30,148.95,149.60,162.58,+14.53,+9.81%,48,319,+3,26.08%,0.8545,Call,05/29/26
"7,435.00",+1.91%,141.90,144.00,146.10,147.67,+8.52,+6.12%,63,119,-6,14.58%,0.9652,Call,05/29/26
"7,440.00",+1.85%,137.00,139.00,141.00,151.86,+37.99,+33.36%,51,138,+4,24.34%,0.8543,Call,05/29/26
"7,445.00",+1.78%,132.10,134.15,136.20,137.86,+17.92,+14.94%,86,81,+1,14.15%,0.9591,Call,05/29/26
"7,450.00",+1.72%,128.60,129.30,130.00,134.62,+13.26,+10.93%,122,662,-18,16.44%,0.9257,Call,05/29/26
"7,455.00",+1.65%,122.50,124.50,126.50,132.78,+16.12,+13.82%,23,84,-9,19.25%,0.8828,Call,05/29/26
"7,460.00",+1.58%,118.90,119.55,120.20,124.99,+10.93,+9.58%,"2,068","2,072",+677,15.91%,0.9160,Call,05/29/26
"7,465.00",+1.52%,112.80,114.75,116.70,119.28,+12.74,+11.96%,11,97,-7,14.56%,0.9255,Call,05/29/26
"7,470.00",+1.45%,109.20,109.90,110.60,114.60,+15.43,+15.56%,30,269,-4,14.46%,0.9178,Call,05/29/26
"7,475.00",+1.39%,104.40,105.10,105.80,117.68,+16.87,+16.73%,92,329,+11,20.73%,0.8239,Call,05/29/26
"7,480.00",+1.32%,99.60,100.30,101.00,108.90,+19.23,+21.45%,"2,249","2,021",+663,17.38%,0.8543,Call,05/29/26
"7,485.00",+1.25%,94.00,95.75,97.50,100.12,+11.17,+12.56%,57,132,-4,13.52%,0.9008,Call,05/29/26
"7,490.00",+1.19%,88.80,90.80,92.80,96.12,+13.85,+16.83%,105,161,-7,13.94%,0.8815,Call,05/29/26
"7,495.00",+1.12%,84.70,86.45,88.20,90.92,+12.90,+16.53%,120,145,+20,13.22%,0.8807,Call,05/29/26
"7,500.00",+1.06%,80.90,81.60,82.30,89.18,+8.08,+9.96%,732,"1,160",-24,5.65%,0.9952,Call,05/29/26
"7,505.00",+0.99%,75.50,77.20,78.90,81.86,+8.21,+11.15%,35,146,+15,7.71%,0.9626,Call,05/29/26
"7,510.00",+0.92%,71.80,72.45,73.10,79.70,+5.79,+7.83%,377,365,+9,7.77%,0.9508,Call,05/29/26
"7,515.00",+0.86%,66.00,67.95,69.90,74.67,+11.32,+17.87%,254,178,+9,8.07%,0.9304,Call,05/29/26
"7,520.00",+0.79%,63.00,63.65,64.30,68.10,+3.70,+5.75%,241,255,unch,8.41%,0.9054,Call,05/29/26
"7,525.00",+0.73%,58.60,59.25,59.90,63.76,+2.26,+3.67%,139,593,-28,8.48%,0.8843,Call,05/29/26
"7,530.00",+0.66%,54.40,55.05,55.70,59.17,+0.31,+0.53%,250,379,+22,8.60%,0.8588,Call,05/29/26
"7,535.00",+0.59%,50.30,50.95,51.60,54.50,+0.50,+0.93%,215,389,+73,8.69%,0.8316,Call,05/29/26
"7,540.00",+0.53%,46.30,46.90,47.50,50.82,+0.17,+0.34%,692,570,-14,8.71%,0.8039,Call,05/29/26
"7,545.00",+0.46%,42.70,43.00,43.30,46.20,+0.38,+0.83%,317,234,+116,8.74%,0.7737,Call,05/29/26
"7,550.00",+0.40%,39.00,39.20,39.40,42.30,-0.72,-1.67%,"1,108","3,147","+1,189",8.72%,0.7420,Call,05/29/26
"7,555.00",+0.33%,35.40,35.60,35.80,39.20,-1.73,-4.23%,660,256,+84,8.73%,0.7076,Call,05/29/26
"7,560.00",+0.26%,31.90,32.10,32.30,35.42,-2.28,-6.05%,"3,388","1,687","+1,455",8.70%,0.6721,Call,05/29/26
"7,565.00",+0.20%,28.60,28.80,29.00,31.86,-2.65,-7.68%,"1,774",397,+144,8.68%,0.6345,Call,05/29/26
"7,570.00",+0.13%,25.40,25.60,25.80,29.17,-2.34,-7.43%,"4,181",895,+497,8.61%,0.5959,Call,05/29/26
"7,575.00",+0.07%,22.50,22.70,22.90,26.02,-2.77,-9.62%,"6,080","1,248",-74,8.60%,0.5554,Call,05/29/26
"7,580.00",unch,19.70,19.90,20.10,23.10,-3.05,-11.66%,"10,086",944,+796,8.54%,0.5143,Call,05/29/26
"7,585.00",-0.07%,17.20,17.40,17.60,20.30,-2.84,-12.27%,"8,328","1,585","+1,433",8.52%,0.4726,Call,05/29/26
"7,590.00",-0.13%,14.80,15.00,15.20,17.57,-3.47,-16.49%,"12,718","5,484","+2,052",8.45%,0.4307,Call,05/29/26
"7,595.00",-0.20%,12.70,12.90,13.10,15.22,-0.58,-3.67%,"4,166",222,+102,8.42%,0.3894,Call,05/29/26
"7,600.00",-0.26%,10.80,11.00,11.20,13.10,-4.00,-23.39%,"12,652","5,814","+2,238",8.39%,0.3490,Call,05/29/26
"7,605.00",-0.33%,9.10,9.25,9.40,10.90,-4.15,-27.57%,"3,175",438,+183,8.33%,0.3094,Call,05/29/26
"7,610.00",-0.39%,7.60,7.75,7.90,9.40,-3.90,-29.32%,"4,754",768,+182,8.30%,0.2722,Call,05/29/26
"7,615.00",-0.46%,6.30,6.45,6.60,7.59,-4.41,-36.75%,"7,139",480,+136,8.28%,0.2373,Call,05/29/26
"7,620.00",-0.53%,5.10,5.25,5.40,6.45,-3.73,-36.64%,"3,899",732,+217,8.21%,0.2036,Call,05/29/26
"7,625.00",-0.59%,4.20,4.30,4.40,5.05,-3.95,-43.89%,"6,281",820,+129,8.20%,0.1742,Call,05/29/26
"7,630.00",-0.66%,3.40,3.50,3.60,4.20,-3.60,-46.15%,"5,474",935,+129,8.20%,0.1478,Call,05/29/26
"7,635.00",-0.72%,2.70,2.80,2.90,3.20,-3.41,-51.59%,"3,340","1,226",+173,8.18%,0.1236,Call,05/29/26
"7,640.00",-0.79%,2.10,2.20,2.30,2.55,-2.85,-52.78%,"9,446","1,723",+89,8.13%,0.1017,Call,05/29/26
"7,645.00",-0.86%,1.65,1.73,1.80,2.10,-2.80,-57.14%,"3,415",198,+142,8.11%,0.0832,Call,05/29/26
"7,650.00",-0.92%,1.30,1.38,1.45,1.61,-2.49,-60.73%,"18,200","2,310",+155,8.14%,0.0684,Call,05/29/26
"7,655.00",-0.99%,1.00,1.05,1.10,1.25,-2.16,-63.34%,"4,144",339,+244,8.11%,0.0545,Call,05/29/26
"7,660.00",-1.05%,0.80,0.85,0.90,1.00,-1.60,-61.54%,"6,670",782,+205,8.19%,0.0451,Call,05/29/26
"7,665.00",-1.12%,0.60,0.68,0.75,0.79,-1.41,-64.09%,"2,684",269,+144,8.24%,0.0367,Call,05/29/26
"7,670.00",-1.19%,0.45,0.53,0.60,0.60,-1.25,-67.57%,"6,602","1,194",+432,8.27%,0.0293,Call,05/29/26
"7,675.00",-1.25%,0.35,0.43,0.50,0.47,-0.95,-66.90%,"3,449","1,382",+279,8.36%,0.0241,Call,05/29/26
"7,680.00",-1.32%,0.35,0.38,0.40,0.37,-0.88,-70.40%,"9,865","2,330",+763,8.57%,0.0211,Call,05/29/26
"7,685.00",-1.38%,0.25,0.30,0.35,0.30,-0.75,-71.43%,"1,451",220,+162,8.64%,0.0172,Call,05/29/26
"7,690.00",-1.45%,0.20,0.25,0.30,0.22,-0.60,-73.17%,"1,058","1,440",+173,8.76%,0.0144,Call,05/29/26
"7,695.00",-1.52%,0.15,0.22,0.30,0.20,-0.46,-69.70%,"1,023",337,+166,8.98%,0.0128,Call,05/29/26
"7,700.00",-1.58%,0.15,0.20,0.25,0.20,-0.40,-66.67%,"3,840","2,524",+160,9.17%,0.0113,Call,05/29/26
"7,705.00",-1.65%,0.10,0.15,0.20,0.20,-0.25,-55.56%,"2,864",159,+90,9.17%,0.0087,Call,05/29/26
"7,710.00",-1.71%,0.10,0.15,0.20,0.14,-0.21,-60.00%,953,404,+220,9.49%,0.0085,Call,05/29/26
"7,715.00",-1.78%,0.10,0.15,0.20,0.10,-0.25,-71.43%,"5,491",319,+33,9.81%,0.0082,Call,05/29/26
"7,720.00",-1.85%,0.05,0.10,0.15,0.10,-0.20,-66.67%,902,364,+137,9.66%,0.0058,Call,05/29/26
"7,725.00",-1.91%,0.05,0.10,0.15,0.05,-0.15,-75.00%,"1,511","1,443",+51,9.97%,0.0056,Call,05/29/26
"7,730.00",-1.98%,0.05,0.10,0.15,0.10,-0.15,-60.00%,814,359,+24,10.27%,0.0055,Call,05/29/26
"7,735.00",-2.04%,0.05,0.10,0.15,0.05,-0.10,-66.67%,"10,399",617,+143,10.57%,0.0053,Call,05/29/26
"7,740.00",-2.11%,0.05,0.10,0.15,0.07,-0.15,-68.18%,"5,382",565,+281,10.88%,0.0052,Call,05/29/26
"7,745.00",-2.18%,0.05,0.10,0.15,0.07,-0.08,-53.33%,189,312,+227,11.18%,0.0050,Call,05/29/26
"7,750.00",-2.24%,0.05,0.08,0.10,0.09,-0.12,-57.14%,"5,526",734,+5,11.13%,0.0039,Call,05/29/26
